Package Number ,Response time [ms]
1,46
2,65
3,65
4,64
5,69
6,62
7,62
8,61
9,67
10,61
11,61
12,61
13,61
14,67
15,61
16,61
17,61
18,68
19,62
20,62
21,61
22,62
23,61
24,62
25,61
26,62
27,63
28,62
29,68
30,62
31,62
32,61
33,62
34,68
35,62
36,63
37,62
38,62
39,69
40,63
41,62
42,62
43,62
44,68
45,72
46,73
47,72
48,79
49,72
50,73
51,71
52,71
53,79
54,73
55,73
56,73
57,79
58,72
59,71
60,71
61,79
62,71
63,71
64,72
65,72
66,79
67,72
68,72
69,72
70,72
71,79
72,72
73,72
74,72
75,72
76,72
77,72
78,72
79,72
80,79
81,72
82,72
83,72
84,79
85,72
86,72
87,71
88,79
89,72
90,72
91,72
92,72
93,80
94,72
95,58
96,52
97,52
98,57
99,52
100,51
101,52
102,51
103,57
104,52
105,52
106,51
107,57
108,52
109,52
110,52
111,57
112,52
113,52
114,52
115,56
116,52
117,51
118,52
119,51
120,57
121,52
122,52
123,52
124,57
125,51
126,52
127,52
128,52
129,57
130,51
131,52
132,52
133,51
134,56
135,51
136,51
137,52
138,52
139,57
140,52
141,52
142,52
143,51
144,57
145,52
146,52
147,52
148,52
149,52
150,51
151,52
152,57
153,52
154,52
155,52
156,52
157,58
158,52
159,52
160,52
161,52
162,57
163,52
164,52
165,52
166,52
167,57
168,52
169,52
170,52
171,52
172,57
173,52
174,52
175,52
176,57
177,52
178,52
179,52
180,57
181,52
182,52
183,52
184,56
185,52
186,52
187,52
188,57
189,52
190,52
191,52
192,52
193,52
194,52
195,52
196,51
197,57
198,52
199,52
200,52
201,52
202,52
203,52
204,51
205,58
206,52
207,52
208,52
209,52
210,57
211,52
212,52
213,52
214,57
215,51
216,52
217,57
218,52
219,52
220,52
221,57
222,53
223,52
224,52
225,51
226,57
227,54
228,62
229,62
230,68
231,62
232,62
233,62
234,62
235,68
236,62
237,62
238,68
239,62
240,62
241,62
242,61
243,62
244,63
245,62
246,62
247,68
248,62
249,62
250,62
251,62
252,62
253,62
254,68
255,62
256,61
257,62
258,68
259,62
260,62
261,61
262,62
263,68
264,62
265,51
266,52
267,57
268,51
269,51
270,57
271,52
272,52
273,52
274,57
275,52
276,52
277,52
278,52
279,57
280,52
281,52
282,52
283,51
284,57
285,52
286,52
287,52
288,51
289,57
290,51
291,52
292,51
293,52
294,57
295,52
296,52
297,52
298,57
299,52
300,51
301,52
302,57
303,62
304,62
305,62
306,62
307,68
308,61
309,61
310,61
311,68
312,61
313,61
314,61
315,61
316,68
317,61
318,61
319,68
320,62
321,61
322,62
323,62
324,62
325,68
326,62
327,63
328,62
329,62
330,68
331,62
332,62
333,68
334,61
335,61
336,62
337,68
338,62
339,61
340,62
341,69
342,60
343,51
344,52
345,57
346,52
347,51
348,52
349,52
350,52
351,52
352,52
353,52
354,57
355,52
356,52
357,52
358,51
359,56
360,52
361,56
362,51
363,51
364,51
365,51
366,57
367,52
368,51
369,52
370,52
371,57
372,52
373,52
374,52
375,51
376,57
377,51
378,52
379,52
380,57
381,52
382,52
383,52
384,58
385,52
386,52
387,52
388,51
389,57
390,52
391,52
392,52
393,52
394,57
395,51
396,52
397,52
398,51
399,52
400,52
401,57
402,52
403,52
404,52
405,52
406,57
407,53
408,52
409,52
410,62
411,68
412,62
413,63
414,68
415,61
416,62
417,62
418,69
419,62
420,62
421,62
422,68
423,61
424,62
425,62
426,68
427,62
428,62
429,62
430,62
431,62
432,62
433,62
434,62
435,68
436,62
437,61
438,62
439,62
440,68
441,62
442,62
443,62
444,62
445,62
446,62
447,62
448,62
449,68
450,62
451,62
452,62
453,68
454,62
455,62
456,68
457,62
458,52
459,52
460,58
461,52
462,52
463,51
464,57
465,52
466,52
467,52
468,52
469,58
470,52
471,52
472,51
473,52
474,57
475,52
476,52
477,52
478,57
479,52
480,52
481,52
482,52
483,57
484,52
485,52
486,52
487,57
488,52
489,62
490,61
491,68
492,61
493,62
494,68
495,62
496,61
497,63
498,68
499,62
500,62
501,62
502,62
503,62
504,52
505,52
506,52
507,52
508,57
509,52
510,52
511,52
512,52
513,57
514,52
515,52
516,52
517,57
518,51
519,52
520,52
521,51
522,57
523,52
524,62
525,62
526,69
527,62
528,62
529,62
530,62
531,68
532,62
533,62
534,62
535,62
536,68
537,62
538,62
539,62
540,68
541,62
542,62
543,62
544,62
545,61
546,61
547,62
548,62
549,68
550,62
551,62
552,63
553,68
554,62
555,62
556,62
557,68
558,62
559,62
560,62
561,68
562,62
563,62
564,62
565,62
566,68
567,62
568,61
569,62
570,68
571,62
572,62
