"Packet Number ,     Response time (ms)"
                   1          33
                   2          75
                   3          73
                   4          75
                   5          81
                   6          82
                   7          82
                   8          79
                   9          91
                  10          86
                  11          88
                  12          82
                  13          85
                  14          76
                  15          73
                  16          77
                  17          72
                  18          80
                  19          64
                  20         180
                  21         258
                  22          73
                  23          76
                  24          73
                  25          74
                  26         127
                  27          86
                  28          87
                  29          78
                  30          88
                  31          84
                  32          82
                  33          75
                  34          71
                  35          72
                  36          73
                  37          72
                  38          74
                  39          65
                  40          84
                  41         240
                  42         232
                  43         240
                  44          72
                  45         240
                  46         114
                  47         185
                  48          72
                  49          66
                  50         204
                  51          72
                  52          77
                  53         192
                  54          70
                  55         225
                  56          77
                  57         213
                  58          71
                  59          70
                  60         208
                  61          77
                  62         221
                  63          83
                  64          76
                  65          84
                  66          73
                  67          75
                  68          80
                  69          66
                  70          72
                  71          75
                  72         155
                  73          73
                  74          66
                  75          71
                  76         139
                  77          78
                  78          76
                  79          68
                  80         236
                  81          78
                  82          80
                  83          79
                  84          68
                  85          72
                  86          84
                  87          92
                  88          87
                  89          77
                  90         141
                  91          88
                  92          72
                  93          84
                  94         150
                  95         253
                  96          78
                  97          79
                  98          83
                  99          75
                 100          78
                 101          77
                 102          85
                 103         226
                 104          76
                 105          85
                 106          86
                 107         141
                 108          86
                 109          78
                 110          78
                 111          78
                 112          73
                 113          81
                 114          71
                 115         226
