Packages received with success,Response time [ms]
1,40
2,54
3,55
4,54
5,51
6,52
7,52
8,58
9,53
10,52
11,53
12,52
13,58
14,53
15,52
16,53
17,52
18,53
19,52
20,53
21,52
22,52
23,52
24,52
25,52
26,57
27,52
28,72
29,73
30,80
31,72
32,73
33,73
34,80
35,72
36,73
37,72
38,72
39,80
40,71
41,72
42,73
43,73
44,80
45,73
46,73
47,72
48,72
49,73
50,73
51,73
52,73
53,80
54,72
55,72
56,72
57,80
58,72
59,72
60,72
61,72
62,79
63,73
64,72
65,72
66,73
67,62
68,63
69,63
70,62
71,68
72,62
73,62
74,63
75,62
76,62
77,68
78,62
79,62
80,62
81,62
82,69
83,62
84,62
85,62
86,61
87,68
88,63
89,62
90,68
91,62
92,62
93,62
94,61
95,68
96,62
97,62
98,62
99,68
100,62
101,62
102,62
103,62
104,76
105,72
106,73
107,72
108,72
109,79
110,72
111,72
112,72
113,79
114,72
115,72
116,79
117,72
118,72
119,79
120,72
121,72
122,72
123,79
124,72
125,72
126,72
127,79
128,72
129,72
130,72
131,79
132,72
133,68
134,62
135,63
136,62
137,69
138,62
139,62
140,62
141,69
142,63
143,63
144,62
145,62
146,62
147,62
148,62
149,69
150,62
151,62
152,68
153,62
154,62
155,63
156,68
157,62
158,63
159,62
160,68
161,62
162,62
163,62
164,62
165,68
166,62
167,63
168,62
169,62
170,62
171,63
172,62
173,68
174,62
175,62
176,62
177,69
178,62
179,67
180,72
181,79
182,72
183,72
184,71
185,78
186,71
187,72
188,72
189,79
190,72
191,72
192,72
193,72
194,80
195,72
196,72
197,72
198,79
199,72
200,71
201,72
202,72
203,72
204,71
205,72
206,79
207,73
208,72
209,72
210,72
211,79
212,72
213,72
214,72
215,72
216,79
217,72
218,71
219,72
220,80
221,72
222,72
223,72
224,72
225,79
226,72
227,72
228,72
229,65
230,68
231,62
232,62
233,61
234,68
235,62
236,62
237,62
238,62
239,68
240,62
241,62
242,61
243,62
244,67
245,61
246,61
247,62
248,61
249,67
250,62
251,62
252,61
253,58
254,51
255,51
256,51
257,51
258,57
259,52
260,51
261,52
262,51
263,56
264,52
265,52
266,52
267,57
268,52
269,52
270,51
271,51
272,51
273,52
274,51
275,56
276,51
277,51
278,51
279,51
280,56
281,52
282,51
283,61
284,62
285,62
286,62
287,67
288,61
289,61
290,61
291,61
292,62
293,67
294,61
295,62
296,61
297,61
298,67
299,61
300,61
301,61
302,67
303,61
304,61
305,61
306,62
307,79
308,72
309,72
310,72
311,71
312,78
313,72
314,71
315,78
316,71
317,72
318,71
319,78
320,71
321,72
322,71
323,71
324,78
325,72
326,71
327,71
328,71
329,79
330,71
331,72
332,72
333,71
334,79
335,71
336,71
337,71
338,71
339,71
340,72
341,71
342,71
343,71
344,72
345,71
346,79
347,71
348,71
349,72
350,71
351,71
352,72
353,72
354,71
355,78
356,71
357,71
358,71
359,71
360,79
361,72
362,72
363,71
364,79
365,72
366,72
367,72
368,71
369,78
370,71
371,72
372,71
373,61
374,61
375,62
376,61
377,67
378,61
379,61
380,61
381,68
382,62
383,62
384,68
385,62
386,62
387,62
388,68
389,61
390,62
391,61
392,62
393,68
394,62
395,62
396,61
397,61
398,67
399,61
400,61
401,67
402,62
403,61
404,67
405,61
406,61
407,61
408,61
409,68
410,62
411,61
412,61
413,61
414,67
415,61
416,62
417,61
418,67
419,62
420,61
421,61
422,62
